UV_treatment,UV_1_0,mass_at_start,mass_week_two,number_of_days,growth_rate,log_growth_rate_plus1,development_time,log_development_time,massa_emergence,sex,sex_1_0,mass_exuvia,total_mass,melanineconcentration_exuvia_per_mass,melanincontent_per_length,sqrt_melanincontent_per_length,PO_per_mg,hemocyte_average_per_mg,log_hemocyte_average_per_mg
UV,1,24.18,30.4,14,0.016351197,0.007043803,22,1.342422681,22.28,m,1,0.71,22.99,2.643844444,0.225391022,0.474753644,5.323159785,0.493716338,0.401267201
controle,0,30.97,38.76,14,0.016026414,0.006904999,21,1.322219295,27.28,v,0,0.72,28,1.757496336,0.118577586,0.344350964,5.877932551,0.73313783,0.54993354
UV,1,23.88,30.79,14,0.018153477,0.007813249,21,1.322219295,20.35,m,1,0.57,20.92,1.927951474,0.296653911,0.544659445,5.837837838,0.855036855,0.617904564
controle,0,38.83,48,14,0.015143419,0.006527404,24,1.380211242,35.47,v,0,0.81,36.28,1.508711587,0.457972817,0.676736889,5.666760643,0.236819848,0.212543446
UV,1,30.26,41.16,14,0.0219743,0.009439975,20,1.301029996,26.71,v,0,0.7,27.41,1.968449705,0.353186287,0.594294782,5.752527143,0.471733433,0.386440912
controle,0,24.29,32.41,14,0.020600162,0.008855633,19,1.278753601,22.04,m,1,0.49,22.53,1.927401883,0.482297161,0.694476177,4.84800363,0.55353902,0.440535567
controle,0,26.9,34.94,14,0.018679001,0.008037354,19,1.278753601,20.9,m,1,0.6,21.5,2.062739236,0.363642527,0.6030278,7.09569378,0.870813397,0.626373308
controle,0,34.61,45.98,14,0.020290276,0.008723748,23,1.361727836,31.8,v,0,0.68,32.48,2.198907233,0.133331286,0.365145568,5.993710692,1.754716981,1.013314708
UV,1,27.42,34.7,14,0.016819072,0.007243684,21,1.322219295,25.36,v,0,0.64,26,1.706677184,0.532671747,0.729843646,4.532728707,0.512618297,0.41384212
controle,0,28.15,36.41,14,0.018378293,0.007909134,19,1.278753601,24.82,m,1,0.8,25.62,2.280083268,0.226560748,0.475983979,7.04069299,0.410958904,0.344269547
UV,1,24.8,31.39,14,0.016831837,0.007249136,19,1.278753601,21.03,m,1,0.41,21.44,1.43752229,0.481036197,0.693567731,6.885401807,0.342368046,0.294435253
UV,1,23.02,29.59,12,0.020922755,0.008992884,22,1.342422681,20.75,m,1,0.61,21.36,1.831531126,0.224896564,0.474232605,5.961445783,0.202409639,0.184327576
UV,1,27.95,32.44,12,0.012414586,0.005358393,23,1.361727836,27.29,v,0,0.7,27.99,2.065446743,0.430245111,0.655930721,5.767680469,0.395749359,0.333431446
controle,0,26.51,33.56,12,0.019651072,0.00845158,21,1.322219295,24.33,m,1,0.61,24.94,1.682274111,0.380745676,0.617045927,4.432799014,0.509658857,0.411883703
UV,1,27.62,32.05,12,0.01239642,0.005350601,26,1.414973348,22.26,m,1,0.6,22.86,2.57625786,0.075554555,0.274871889,5.97933513,0.566037736,0.448548694
