Prior Water Quality Analysis,Analyzed.Year,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2016,,,,,,,,,
No,,,,,,,,,,
Yes,2016,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2014,,,,,,,,,
Yes,2005,,,,,,,,,
Yes,1990,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2020,,,,,,,,,
Yes,2005,,,,,,,,,
Yes,1998,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2020,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2009,,,,,,,,,
No,,,,,,,,,,
Yes,2017,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2019,,,,,,,,,
Yes,2019,,,,,,,,,
No,,,,,,,,,,
Yes,2020,,,,,,,,,
No,,,,,,,,,,
Yes,2019,,,,,,,,,
Yes,2000,,,,,,,,,
Yes,2013,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2020,,,,,,,,,
No,,,,,,,,,,
Yes,2017,,,,,,,,,
Yes,2019,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,1998,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2007,,,,,,,,,
Yes,2012,,,,,,,,,
Yes,1980,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2019,,,,,,,,,
No,,,,,,,,,,
Yes,2004,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,1997,,,,,,,,,
No,,,,,,,,,,
Yes,2012,,,,,,,,,
Yes,2018,,,,,,,,,
Yes,2020,,,,,,,,,
No,,,,,,,,,,
Yes,2017,,,,,,,,,
Yes,2011,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2016,,,,,,,,,
Yes,2014,,,,,,,,,
No,,,,,,,,,,
Yes,2016,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,1988,,,,,,,,,
Yes,2004,,,,,,,,,
Yes,2020,,,,,,,,,
Yes,2008,,,,,,,,,
No,,,,,,,,,,
Yes,1990,,,,,,,,,
Yes,2010,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2009,,,,,,,,,
No,,,,,,,,,,
Yes,2001,,,,,,,,,
No,,,,,,,,,,
Yes,2017,,,,,,,,,
Yes,2008,,,,,,,,,
Yes,2017,,,,,,,,,
Yes,2020,,,,,,,,,
Yes,2014,,,,,,,,,
No,,,,,,,,,,
Yes,2003,,,,,,,,,
No,,,,,,,,,,
Yes,2012,,,,,,,,,
No,,,,,,,,,,
Yes,2005,,,,,,,,,
No,,,,,,,,,,
Yes,2019,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2019,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
No,,,,,,,,,,
Yes,2019,,,,,,,,,
Yes,1988,,,,,,,,,
No,,,,,,,,,,
Yes,2019,,,,,,,,,
Yes,2014,,,,,,,,,
Yes,2012,,,,,,,,,
No,,,,,,,,,,
Yes,2005,,,,,,,,,
No,,,,,,,,,,
Yes,2010,,,,,,,,,
No,,,,,,,,,,
Yes,2000,,,,,,,,,
Yes,2020,,,,,,,,,
No,,,,,,,,,,
Yes,2016,,,,,,,,,
No,,,,,,,,,,
Yes,2016,,,,,,,,,
Yes,2016,,,,,,,,,
Yes,1988,,,,,,,,,
No,,,,,,,,,,
