Species,Density,Year,Mean,SE,,,
Ephemeroptera,17.4,2009,17.4,2.8,,,
Ephemeroptera,14.8,2010,14.8,2.8,,,
Ephemeroptera,0,2011,,,,,
Ephemeroptera,5.5,2012,5.5,0.6,,,
Ephemeroptera,9.1,2013,9.1,0.9,,,
Ephemeroptera,13.9,2014,13.9,3.5,,,
Ephemeroptera,14.5,2015,14.5,2.5,,,
Ephemeroptera,8.7,2016,8.7,1.1,,,
Ephemeroptera,13.7,2017,13.7,1.4,,,
Ephemeroptera,7.3,2018,7.3,1.3,,,
Ephemeroptera,5.4,2019,5.4,0.7,,,
Ephemeroptera,0,2020,,,,,
Ephemeroptera,0,2021,,,,,
Ephemeroptera,22,2022,22.0,3.1,,,
Plecoptera,5,2009,5.0,1.1,,,
Plecoptera,2.6,2010,2.6,0.5,,,
Plecoptera,0,2011,,,,,
Plecoptera,2,2012,2.0,0.2,,,
Plecoptera,3,2013,3.0,0.5,,,
Plecoptera,7.1,2014,7.1,1.7,,,
Plecoptera,3.2,2015,3.2,0.4,,,
Plecoptera,5.2,2016,5.2,0.8,,,
Plecoptera,3.2,2017,3.2,0.5,,,
Plecoptera,2.5,2018,2.5,0.8,,,
Plecoptera,2.4,2019,2.4,0.3,,,
Plecoptera,0,2020,,,,,
Plecoptera,0,2021,,,,,
Plecoptera,5.5,2022,5.5,0.9,,,
Trichoptera,3.9,2009,3.9,0.9,,,
Trichoptera,4.3,2010,4.3,0.9,,,
Trichoptera,0,2011,,,,,
Trichoptera,2.4,2012,2.4,0.4,,,
Trichoptera,1.9,2013,1.9,0.4,,,
Trichoptera,2.6,2014,2.6,0.5,,,
Trichoptera,2.3,2015,2.3,0.8,,,
Trichoptera,1.8,2016,1.8,0.3,,,
Trichoptera,3.2,2017,3.2,0.7,,,
Trichoptera,0.5,2018,0.5,0.2,,,
Trichoptera,1.6,2019,1.6,0.2,,,
Trichoptera,0,2020,,,,,
Trichoptera,0,2021,,,,,
Trichoptera,4.7,2022,4.7,0.6,4.7,0.6,
